stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code,区名
S280100072000200,高羽小学校,34.7234718757198,135.238253851306,Z000650,0,,,,,,,,灘区
S280100072100100,小橋,34.7615911898837,135.155169883531,Z000990,0,,,,,,,１,北区
S280100072100200,小橋,34.7615130781219,135.155482358694,Z000990,0,,,,,,,２,北区
S280100072200100,青葉台口,34.7629191214003,135.152392312713,Z001000,0,,,,,,,１,北区
S280100072200200,青葉台口,34.762762897259,135.152982544039,Z001000,0,,,,,,,２,北区
S280100072300100,大滝口,34.7648980076432,135.147913470744,Z001010,0,,,,,,,１,北区
S280100072300200,大滝口,34.7649934803093,135.147670432704,Z001010,0,,,,,,,２,北区
S280100072400100,谷寺口,34.766668565367,135.138678076914,Z001030,0,,,,,,,１,北区
S280100072400200,谷寺口,34.7667206425734,135.138643356178,Z001030,0,,,,,,,２,北区
S280100072500100,福地,34.7665904048128,135.132879954021,Z001040,0,,,,,,,１,北区
S280100072500200,福地,34.7665817238575,135.132671638658,Z001040,0,,,,,,,２,北区
S280100072600100,山田小学校前,34.765531479617,135.130553789242,Z001050,0,,,,,,,１,北区
S280100072600200,山田小学校前,34.7656009172777,135.130692664651,Z001050,0,,,,,,,２,北区
S280100072700100,東下,34.7643683665159,135.123783555633,Z001060,0,,,,,,,１,北区
S280100072700200,東下,34.7643683652816,135.12360995917,Z001060,0,,,,,,,２,北区
S280100072800100,七社前,34.7630837534936,135.120485254379,Z001070,0,,,,,,,１,北区
S280100072800200,七社前,34.7631705511445,135.120624129415,Z001070,0,,,,,,,２,北区
S280100072900100,丹生神社前,34.763821465595,135.115867585349,Z001080,0,,,,,,,１,北区
S280100072900200,丹生神社前,34.7638822235844,135.115937022587,Z001080,0,,,,,,,２,北区
S280100073000100,坂本,34.7638213874911,135.10940981587,Z001090,0,,,,,,,１,北区
S280100073000200,坂本,34.763812716302,135.109930602124,Z001090,0,,,,,,,２,北区
S280100073100100,衝原,34.7684822391368,135.103854682369,Z001100,0,,,,,,,１,北区
S280100073200100,掖済会病院前,34.6531210699569,135.052680788119,Z001440,0,,,,,,,１,垂水区
S280100073300100,本多聞介護センター前,34.6509250184055,135.043480235963,Z001490,0,,,,,,,１,垂水区
S280100073400100,西部障害者センター,34.6517582813691,135.045007864345,Z001500,0,,,,,,,１,垂水区
S280100073500100,小束台西,34.6739695002749,135.04830566403,Z001890,0,,,,,,,１,垂水区
S280100073600100,小束台,34.673709132901,135.050527700844,Z001900,0,,,,,,,１,垂水区
S280100073700100,順心神戸病院前,34.6733272435325,135.052090075009,Z001910,0,,,,,,,,垂水区
S280100073800100,舞多聞西７丁目,34.6699681734286,135.048583509836,Z001920,0,,,,,,,１,垂水区
S280100073800200,舞多聞西７丁目,34.6699074130983,135.048340476634,Z001920,0,,,,,,,２,垂水区
S280100073900100,舞多聞西５丁目,34.6662358970525,135.046153247865,Z001930,0,,,,,,,１,垂水区
S280100073900200,舞多聞西５丁目,34.6662358953,135.046049090119,Z001930,0,,,,,,,２,垂水区
S280100074000100,学園南公園前,34.6640139469026,135.049312749924,Z001940,0,,,,,,,１,垂水区
S280100074000200,学園南公園前,34.6639271523224,135.049521067413,Z001940,0,,,,,,,２,垂水区
